,step,river_dirtiness,orchard_fruits,agent_1_action,agent_2_action,agent_1_reward,agent_2_reward
0,0,8,4,move north,move north,0,0
1,1,8,3,pick fruit,move east,1,0
2,2,9,2,pick fruit,move north,2,0
3,3,9,1,pick fruit,move north,3,0
4,4,9,1,move south,move north,3,0
5,5,9,1,move north,move north,3,0
6,6,9,1,move south,move south,3,0
7,7,9,1,move south,move north,3,0
8,8,9,0,move south,pick fruit,3,1
9,9,9,0,move south,pick fruit,3,1
10,10,9,0,move south,move south,3,1
11,11,9,0,move south,move south,3,1
12,12,9,0,move south,move north,3,1
13,13,9,0,clean river,move north,3,1
14,14,8,1,clean river,move south,3,1
15,15,7,2,clean river,move north,3,1
16,16,6,2,clean river,move south,3,1
17,17,6,2,clean river,move north,3,1
18,18,6,2,clean river,move south,3,1
19,19,5,3,clean river,move north,3,1
20,20,4,4,clean river,move south,3,1
21,21,3,5,clean river,move north,3,1
22,22,2,5,clean river,pick fruit,3,2
23,23,2,6,move north,move south,3,2
24,24,2,7,move south,move north,3,2
25,25,2,6,clean river,pick fruit,3,3
26,26,1,6,clean river,pick fruit,3,4
27,27,0,6,clean river,pick fruit,3,5
28,28,0,7,clean river,move south,3,5
29,29,1,8,clean river,move north,3,5
30,30,1,8,clean river,pick fruit,3,6
31,31,1,8,clean river,pick fruit,3,7
32,32,0,8,clean river,pick fruit,3,8
33,33,1,9,clean river,move east,3,8
34,34,0,9,clean river,pick fruit,3,9
35,35,0,9,clean river,pick fruit,3,10
36,36,1,9,clean river,pick fruit,3,11
37,37,0,9,clean river,pick fruit,3,12
38,38,1,10,move north,move east,3,12
39,39,1,11,move north,move south,3,12
40,40,1,12,move north,move north,3,12
41,41,1,13,move north,move south,3,12
42,42,2,14,move north,move north,3,12
43,43,2,15,move north,move south,3,12
44,44,2,16,move north,move north,3,12
45,45,2,17,move south,move south,3,12
46,46,2,18,move north,move north,3,12
47,47,2,18,move west,pick fruit,3,13
48,48,3,18,move south,pick fruit,3,14
49,49,3,19,move north,move south,3,14
50,50,3,20,move south,move north,3,14
51,51,3,20,move north,move south,3,14
52,52,3,21,move south,move north,3,14
53,53,3,22,move north,move south,3,14
54,54,3,22,move west,move north,3,14
55,55,3,22,move south,move south,3,14
56,56,4,23,move north,move north,3,14
57,57,4,23,move south,move south,3,14
58,58,4,23,move north,move north,3,14
59,59,5,24,move south,move south,3,14
60,60,5,24,move north,move north,3,14
61,61,5,24,move south,move south,3,14
62,62,5,24,move south,move north,3,14
63,63,5,25,move north,move south,3,14
64,64,5,26,move north,move north,3,14
65,65,5,27,move south,move south,3,14
66,66,5,28,move north,move north,3,14
67,67,5,28,move east,move south,3,14
68,68,5,29,move south,move north,3,14
69,69,5,30,move north,move south,3,14
70,70,6,31,move south,move north,3,14
71,71,6,32,move south,move south,3,14
72,72,6,33,move north,move north,3,14
73,73,6,33,move north,move south,3,14
74,74,6,33,move south,move north,3,14
75,75,6,33,move north,move south,3,14
76,76,6,33,move south,move north,3,14
77,77,6,33,move north,move south,3,14
78,78,6,32,pick fruit,move north,4,14
79,79,7,32,move south,move south,4,14
80,80,8,33,move south,move south,4,14
81,81,8,34,move south,move south,4,14
82,82,8,35,move north,move north,4,14
83,83,8,35,move north,move north,4,14
84,84,8,35,move north,move north,4,14
85,85,8,35,move south,move south,4,14
86,86,8,36,move north,move north,4,14
87,87,8,35,move south,pick fruit,4,15
88,88,8,35,move north,move south,4,15
89,89,8,35,move south,move north,4,15
90,90,8,35,move north,move south,4,15
91,91,8,35,move south,move north,4,15
92,92,8,35,move north,move south,4,15
93,93,9,35,move south,move south,4,15
94,94,9,35,move north,move north,4,15
95,95,9,35,move south,move south,4,15
96,96,9,35,move south,move north,4,15
97,97,9,35,move north,move south,4,15
98,98,9,35,move south,move north,4,15
99,99,9,35,move north,move north,4,15
100,100,9,35,move north,move south,4,15
101,101,9,35,move south,move north,4,15
102,102,9,35,move north,move south,4,15
103,103,9,35,move south,move south,4,15
104,104,9,35,move north,move north,4,15
105,105,9,35,move south,move south,4,15
106,106,9,35,move north,move north,4,15
107,107,9,34,pick fruit,move south,5,15
108,108,9,34,move south,move north,5,15
109,109,9,34,move north,move north,5,15
110,110,9,34,move south,move south,5,15
111,111,9,34,move south,move north,5,15
112,112,9,34,move north,move south,5,15
113,113,9,34,move north,move south,5,15
114,114,9,34,move south,move north,5,15
115,115,9,34,move north,move north,5,15
116,116,9,34,move south,move south,5,15
117,117,9,34,move north,move north,5,15
118,118,9,33,move south,pick fruit,5,16
119,119,9,33,move south,move south,5,16
120,120,9,33,move north,move south,5,16
121,121,9,33,move north,move south,5,16
122,122,9,33,move south,move south,5,16
123,123,9,33,move south,move south,5,16
124,124,9,33,move south,move north,5,16
125,125,9,33,move south,move south,5,16
126,126,9,33,move south,move south,5,16
127,127,9,33,move north,move north,5,16
128,128,9,33,move south,move east,5,16
129,129,9,33,move north,move north,5,16
130,130,9,33,move south,move north,5,16
131,131,9,33,move south,move north,5,16
132,132,9,33,move north,move north,5,16
133,133,9,33,move north,move south,5,16
134,134,9,33,move south,move south,5,16
135,135,9,33,move north,move north,5,16
136,136,9,33,move north,move north,5,16
137,137,9,33,move north,move north,5,16
138,138,9,33,move north,move south,5,16
139,139,9,33,move north,move south,5,16
140,140,9,32,pick fruit,move north,6,16
141,141,9,32,move south,move north,6,16
142,142,9,32,move south,move south,6,16
143,143,9,32,move north,move north,6,16
144,144,9,32,move south,move south,6,16
145,145,9,32,move south,move north,6,16
146,146,9,32,move north,move south,6,16
147,147,9,32,move north,move south,6,16
148,148,9,32,move north,move south,6,16
149,149,9,32,move south,move south,6,16
150,150,9,32,move south,move south,6,16
151,151,9,32,move south,move south,6,16
152,152,9,32,move south,move north,6,16
153,153,9,32,move south,move north,6,16
154,154,9,32,move north,move north,6,16
155,155,9,32,move north,move north,6,16
156,156,9,32,move north,move north,6,16
157,157,9,32,move south,move north,6,16
158,158,9,31,move north,pick fruit,6,17
159,159,9,31,move north,move south,6,17
160,160,9,31,move south,move north,6,17
161,161,9,31,move south,move south,6,17
162,162,9,31,move north,move south,6,17
163,163,9,31,move north,move south,6,17
164,164,9,31,move south,move north,6,17
165,165,9,31,move south,move south,6,17
166,166,9,31,move north,move north,6,17
167,167,9,31,move north,move north,6,17
168,168,9,31,move south,move north,6,17
169,169,9,31,move south,move south,6,17
170,170,9,31,move north,move north,6,17
171,171,9,31,move south,move south,6,17
172,172,9,31,move north,move north,6,17
173,173,9,31,move north,move south,6,17
174,174,9,31,move north,move north,6,17
175,175,9,31,move south,move south,6,17
176,176,9,31,move south,move south,6,17
177,177,9,31,move south,move north,6,17
178,178,9,31,move north,move north,6,17
179,179,9,30,move north,pick fruit,6,18
180,180,9,29,move north,pick fruit,6,19
181,181,9,29,move south,move south,6,19
182,182,9,29,move north,move north,6,19
183,183,9,29,move south,move south,6,19
184,184,9,29,move south,move north,6,19
185,185,9,29,move north,move south,6,19
186,186,9,29,move north,move south,6,19
187,187,9,29,move south,move north,6,19
188,188,9,29,move south,move south,6,19
189,189,9,29,move south,move north,6,19
190,190,9,29,move north,move north,6,19
191,191,9,29,move north,move south,6,19
192,192,9,29,move south,move north,6,19
193,193,9,29,move north,move south,6,19
194,194,9,29,move north,move north,6,19
195,195,9,29,move south,move south,6,19
196,196,9,29,move north,move north,6,19
197,197,9,29,move south,move south,6,19
198,198,9,29,move north,move south,6,19
199,199,9,29,move south,move south,6,19
